,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Genes
STS,0,1.599228592,0.516,0.31,0,STS
AGT,0,1.517586926,0.353,0.147,0,AGT
RBP1,0,1.401753436,0.546,0.341,0,RBP1
NACAD,0,3.659977269,0.252,0.047,0,NACAD
MUC6,0,2.320956638,0.38,0.175,0,MUC6
TRADD,0,-1.078337159,0.447,0.652,0,TRADD
MUC5B,0,1.67226124,0.6,0.395,0,MUC5B
FERMT1,0,-0.850288869,0.394,0.599,0,FERMT1
CXCL8,0,1.577157797,0.51,0.306,0,CXCL8
SEMA3B,0,1.073679,0.578,0.374,0,SEMA3B
IFI44L,0,-1.487776094,0.235,0.438,0,IFI44L
GBP4,0,-1.830478261,0.124,0.327,0,GBP4
CRISP3,0,2.73860207,0.267,0.066,0,CRISP3
APOD,0,1.112077303,0.71,0.511,0,APOD
CFB,0,1.50002623,0.799,0.601,0,CFB
ADGRF1,0,1.2066871,0.532,0.335,0,ADGRF1
DNTTIP1,0,-1.209565877,0.275,0.472,0,DNTTIP1
KRT6B,0,-2.388138146,0.073,0.269,0,KRT6B
PIGO,0,1.891264283,0.423,0.227,0,PIGO
MFAP4,0,1.303085461,0.473,0.278,0,MFAP4
CLDN18,0,-1.977294382,0.101,0.295,0,CLDN18
FAM219A,0,2.179582522,0.408,0.215,0,FAM219A
SDC3,0,1.21555368,0.522,0.33,0,SDC3
HAND2,0,1.114574929,0.468,0.276,0,HAND2
TM4SF4,0,0.935631021,0.408,0.216,0,TM4SF4
C7,0,1.71646155,0.576,0.386,0,C7
LTBP1,0,1.021056263,0.559,0.371,0,LTBP1
SLC34A2,0,1.686010425,0.359,0.172,0,SLC34A2
POU2F3,0,1.910978774,0.338,0.152,0,POU2F3
ABI3BP,0,1.706863924,0.321,0.136,0,ABI3BP
MYORG,0,2.637866207,0.286,0.101,0,MYORG
CCL15,0,-3.018137528,0.087,0.271,0,CCL15
DEPP1,0,-0.996245238,0.58,0.763,0,DEPP1
RARRES1,0,1.358714922,0.407,0.225,0,RARRES1
CAPS,0,1.203445045,0.609,0.431,0,CAPS
IFI30,0,-0.964972936,0.565,0.742,0,IFI30
MMP9,0,-1.731583086,0.098,0.275,0,MMP9
TNNT1,0,1.743744539,0.388,0.212,0,TNNT1
SLC40A1,0,0.480582339,0.794,0.619,0,SLC40A1
KRT5,0,-4.062370858,0.102,0.277,0,KRT5
RBPMS,0,1.035876101,0.613,0.439,0,RBPMS
SYT11,0,2.62027553,0.247,0.075,0,SYT11
PYGB,0,-0.991632241,0.549,0.721,0,PYGB
PSMB10,0,-0.876511537,0.499,0.67,0,PSMB10
SLC4A4,0,1.252323133,0.389,0.219,0,SLC4A4
CA12,0,1.499543494,0.341,0.171,0,CA12
FAM107B,0,1.105736139,0.54,0.371,0,FAM107B
ENTPD2,0,1.19102654,0.417,0.249,0,ENTPD2
SNCG,0,1.8546636,0.529,0.365,0,SNCG
NSG1,0,3.375297942,0.2,0.037,0,NSG1
CRABP2,0,1.492848229,0.558,0.396,0,CRABP2
GNLY,0,-2.417604637,0.067,0.229,0,GNLY
STAT1,0,-0.922560622,0.482,0.642,0,STAT1
UBD,0,-2.129196181,0.477,0.637,0,UBD
VCP,0,2.252685278,0.796,0.636,0,VCP
BCL6,0,0.935065046,0.621,0.462,0,BCL6
GPC1,0,0.988686552,0.562,0.406,0,GPC1
HABP4,0,1.114773998,0.573,0.417,0,HABP4
CASP14,0,5.608933136,0.166,0.011,0,CASP14
NRP2,0,0.901914153,0.592,0.437,0,NRP2
DCTN3,0,1.76241667,0.637,0.483,0,DCTN3
FCGBP,0,2.961154814,0.345,0.192,0,FCGBP
CHST4,0,1.58783123,0.272,0.12,0,CHST4
RPP25L,0,1.9965289,0.288,0.138,0,RPP25L
LTBP4,0,0.997024711,0.815,0.666,0,LTBP4
C6,0,2.270740277,0.196,0.048,0,C6
SIGMAR1,0,1.829813637,0.514,0.367,0,SIGMAR1
ANXA9,0,1.753903266,0.289,0.142,0,ANXA9
MAP6,0,2.597759299,0.2,0.054,0,MAP6
CASK,0,0.901785443,0.592,0.446,0,CASK
OGN,0,1.507232288,0.27,0.125,0,OGN
TSC22D3,0,0.837809119,0.764,0.619,0,TSC22D3
KIF5C,0,3.275454647,0.176,0.033,0,KIF5C
CLTB,0,-0.736943493,0.717,0.859,0,CLTB
LAPTM4B,0,0.841458976,0.628,0.489,0,LAPTM4B
CRIP2,0,0.650874014,0.796,0.659,0,CRIP2
MYH14,0,0.88323347,0.785,0.648,0,MYH14
RNASE1,0,0.853293253,0.824,0.687,0,RNASE1
TFPI2,0,2.035830857,0.196,0.061,0,TFPI2
PTGER1,0,3.20404591,0.17,0.036,0,PTGER1
RNF213,0,-0.824622327,0.709,0.842,0,RNF213
MYRF,0,0.749488451,0.746,0.615,0,MYRF
SPP1,0,1.454845971,0.777,0.649,0,SPP1
STMN4,0,6.339191746,0.129,0.002,0,STMN4
CARNS1,0,2.136273668,0.189,0.062,0,CARNS1
C9orf24,0,3.78018379,0.145,0.019,0,C9orf24
STOML2,0,1.403277594,0.591,0.465,0,STOML2
FXYD7,0,4.659136308,0.132,0.01,0,FXYD7
ROMO1,0,-0.629319914,0.71,0.832,0,ROMO1
C1QB,0,-0.923550863,0.654,0.771,0,C1QB
LAMB3,0,-0.744063936,0.749,0.866,0,LAMB3
VWA1,0,0.808765548,0.69,0.575,0,VWA1
PDZK1IP1,0,0.786935965,0.814,0.702,0,PDZK1IP1
LAMC2,0,-0.912884101,0.741,0.853,0,LAMC2
CYP24A1,0,3.298650287,0.127,0.016,0,CYP24A1
FREM2,0,2.939208275,0.131,0.021,0,FREM2
FGG,0,2.53552739,0.13,0.026,0,FGG
VGLL1,0,3.16414399,0.132,0.028,0,VGLL1
SPRR3,0,2.349127941,0.126,0.026,0,SPRR3
PTPA,0,0.864661158,0.689,0.589,0,PTPA
UBE2R2,0,1.200055569,0.724,0.625,0,UBE2R2
MUC1,0,0.291362551,0.93,0.834,0,MUC1
PAGE5,0,7.046232928,0.098,0.002,0,PAGE5
CDH1,0,-0.624068516,0.753,0.848,0,CDH1
ANXA4,0,0.865529888,0.889,0.795,0,ANXA4
IFNGR2,0,-0.561313042,0.767,0.859,0,IFNGR2
GAL3ST2,0,2.881415967,0.116,0.025,0,GAL3ST2
CHRDL2,0,2.531067171,0.122,0.031,0,CHRDL2
ATP5PD,0,-0.540166052,0.782,0.873,0,ATP5PD
AMBP,0,2.321784129,0.117,0.027,0,AMBP
FGA,0,2.657221085,0.114,0.025,0,FGA
SCGB3A1,0,4.297971135,0.102,0.013,0,SCGB3A1
ELF3,0,0.278462502,0.909,0.822,0,ELF3
IFI27,0,-1.161468632,0.863,0.943,0,IFI27
SLC25A3,0,-0.523135661,0.788,0.867,0,SLC25A3
LCN2,0,1.067201803,0.907,0.83,0,LCN2
POMC,0,2.825662446,0.097,0.02,0,POMC
PTGES3,0,-0.539246342,0.845,0.916,0,PTGES3
PLSCR1,0,-0.759023425,0.802,0.872,0,PLSCR1
ARPC3,0,-0.542552035,0.81,0.88,0,ARPC3
ALDH1A2,0,3.150070024,0.08,0.011,0,ALDH1A2
COPZ1,0,-0.446774247,0.815,0.883,0,COPZ1
FAIM2,0,4.013751807,0.075,0.007,0,FAIM2
NPC2,0,0.617628794,0.841,0.776,0,NPC2
FGF19,0,2.411401353,0.074,0.011,0,FGF19
PPIB,0,-0.517544829,0.866,0.927,0,PPIB
CD44,0,-0.645820663,0.866,0.924,0,CD44
GLUL,0,0.534592172,0.946,0.891,0,GLUL
S100A14,0,-0.660821634,0.877,0.927,0,S100A14
ZFP36L2,0,0.472081287,0.893,0.846,0,ZFP36L2
FXYD3,0,-1.183823515,0.863,0.91,0,FXYD3
ATP5F1B,0,-0.494940808,0.877,0.923,0,ATP5F1B
VDAC1,0,-0.552881328,0.879,0.924,0,VDAC1
NOP53,0,0.519934427,0.904,0.86,0,NOP53
CCNI,0,0.552676394,0.921,0.878,0,CCNI
COX6A1,0,-0.513318965,0.883,0.918,0,COX6A1
NBL1,0,0.460136704,0.896,0.862,0,NBL1
C1R,0,0.575335373,0.912,0.883,0,C1R
PLXNB2,0,0.677191509,0.924,0.896,0,PLXNB2
ATP5F1E,0,-0.416474714,0.912,0.937,0,ATP5F1E
PTMS,0,0.598583841,0.917,0.893,0,PTMS
TIMP1,0,0.500135919,0.968,0.952,0,TIMP1
PLEC,0,0.534178935,0.952,0.941,0,PLEC
IFITM3,0,-0.551364039,0.953,0.962,0,IFITM3
UBA52,0,-0.337432626,0.981,0.985,0,UBA52
TMSB4X,0,0.425647669,0.997,0.994,0,TMSB4X
COL1A2,0,-0.564025085,0.992,0.994,0,COL1A2
TOMM5,5.87E-308,-1.001609107,0.305,0.509,1.04E-303,TOMM5
CLDN4,1.80E-307,-0.573431166,0.85,0.89,3.20E-303,CLDN4
IGFBP4,4.42E-307,0.568829792,0.803,0.71,7.86E-303,IGFBP4
PTGDS,5.08E-306,0.693956295,0.619,0.488,9.02E-302,PTGDS
GOLM1,2.07E-305,0.393836708,0.9,0.872,3.68E-301,GOLM1
TSHZ2,1.03E-304,0.922106826,0.572,0.414,1.83E-300,TSHZ2
CLU,1.25E-304,1.007401684,0.775,0.672,2.23E-300,CLU
TMEM238,6.62E-303,0.937137679,0.691,0.594,1.18E-298,TMEM238
TMCC3,1.09E-301,-1.514960672,0.145,0.325,1.94E-297,TMCC3
MX2,2.28E-301,-1.066574293,0.245,0.445,4.05E-297,MX2
PLEK2,7.54E-299,-0.995214717,0.343,0.534,1.34E-294,PLEK2
HPGD,9.20E-299,-1.233148232,0.178,0.366,1.63E-294,HPGD
NFKB2,3.95E-295,-0.613112832,0.558,0.723,7.03E-291,NFKB2
PPP1CB,2.92E-294,0.64670783,0.777,0.691,5.19E-290,PPP1CB
SERPINA6,8.18E-294,2.576337732,0.081,0.015,1.45E-289,SERPINA6
APLP1,9.99E-289,2.032529652,0.142,0.045,1.77E-284,APLP1
NLRP2,3.17E-288,2.224352516,0.118,0.032,5.64E-284,NLRP2
ST3GAL4,6.39E-288,1.267780637,0.446,0.299,1.13E-283,ST3GAL4
CALB2,1.35E-286,-2.091788011,0.112,0.275,2.39E-282,CALB2
NMNAT2,2.27E-286,2.428253595,0.157,0.056,4.03E-282,NMNAT2
BRK1,8.40E-286,0.506993374,0.866,0.828,1.49E-281,BRK1
PFN1,2.27E-285,-0.375357134,0.969,0.978,4.04E-281,PFN1
RAB39B,7.57E-283,3.209250833,0.074,0.013,1.34E-278,RAB39B
GSDMB,1.91E-282,-0.867736175,0.462,0.63,3.39E-278,GSDMB
CFH,8.13E-280,0.849823768,0.589,0.451,1.44E-275,CFH
GALT,1.08E-279,1.373575096,0.452,0.316,1.92E-275,GALT
IFITM1,1.79E-278,-1.253056997,0.507,0.642,3.17E-274,IFITM1
NIBAN2,4.99E-278,0.530412925,0.817,0.767,8.86E-274,NIBAN2
CRCT1,1.13E-277,2.200203973,0.12,0.035,2.01E-273,CRCT1
MIA,2.13E-277,-1.010633815,0.158,0.345,3.78E-273,MIA
COX5A,2.64E-277,-0.467164797,0.786,0.868,4.69E-273,COX5A
PFN2,4.66E-277,1.069824595,0.428,0.277,8.27E-273,PFN2
LTB,5.99E-277,-1.619898921,0.179,0.351,1.06E-272,LTB
LYNX1,1.63E-275,2.039302401,0.134,0.042,2.89E-271,LYNX1
CMPK2,9.22E-275,-1.327266639,0.141,0.314,1.64E-270,CMPK2
ANXA2,5.77E-274,-0.522051026,0.95,0.958,1.03E-269,ANXA2
COLEC11,1.09E-273,1.22856034,0.27,0.132,1.93E-269,COLEC11
NPDC1,2.40E-273,0.696186719,0.684,0.576,4.26E-269,NPDC1
PTK2,6.79E-273,0.546872106,0.847,0.798,1.21E-268,PTK2
LGALS4,2.17E-272,-1.288823007,0.701,0.72,3.86E-268,LGALS4
CCT8,6.59E-272,-0.567587141,0.624,0.758,1.17E-267,CCT8
MMP2,6.81E-272,0.526885254,0.852,0.784,1.21E-267,MMP2
FTL,7.80E-272,0.224991966,0.993,0.987,1.39E-267,FTL
ATP5MF,1.56E-270,-0.472486324,0.765,0.847,2.76E-266,ATP5MF
THBS4,8.81E-270,1.208797082,0.344,0.191,1.57E-265,THBS4
SSBP3,1.03E-267,0.761162162,0.659,0.541,1.83E-263,SSBP3
RSAD2,4.74E-267,-1.694095607,0.121,0.285,8.42E-263,RSAD2
SAMD9L,9.79E-266,-0.96798352,0.27,0.455,1.74E-261,SAMD9L
ELN,3.74E-264,1.217052659,0.298,0.156,6.64E-260,ELN
ADAM19,2.08E-263,-1.019904754,0.278,0.46,3.69E-259,ADAM19
LTBP3,4.37E-263,0.525883225,0.803,0.728,7.76E-259,LTBP3
C1QC,4.09E-262,-0.80788345,0.597,0.726,7.26E-258,C1QC
HIST1H3G,1.64E-261,-1.90236206,0.118,0.275,2.91E-257,HIST1H3G
HIST1H1E,9.15E-261,0.384495867,0.896,0.857,1.63E-256,HIST1H1E
PLAAT4,2.77E-260,-0.817705044,0.702,0.789,4.91E-256,PLAAT4
NFIX,4.51E-258,0.943175217,0.468,0.321,8.01E-254,NFIX
AKR7A3,1.77E-256,0.818000436,0.474,0.316,3.14E-252,AKR7A3
ANKRD1,1.81E-256,-2.8488707,0.059,0.196,3.22E-252,ANKRD1
CXCL13,2.17E-256,-4.069316127,0.01,0.125,3.85E-252,CXCL13
CAPN5,2.35E-255,0.735677206,0.553,0.397,4.17E-251,CAPN5
DGCR2,3.60E-255,1.085052073,0.505,0.375,6.39E-251,DGCR2
FOXC2,4.07E-255,-2.148670528,0.043,0.179,7.23E-251,FOXC2
DCBLD2,6.72E-255,-1.419247185,0.3,0.448,1.19E-250,DCBLD2
ACOT7,9.56E-255,-0.845925865,0.32,0.503,1.70E-250,ACOT7
COL7A1,8.52E-254,-1.124365944,0.292,0.457,1.51E-249,COL7A1
NCOA7,2.51E-253,-0.751914037,0.514,0.668,4.46E-249,NCOA7
FGFBP1,2.22E-250,1.97407144,0.109,0.031,3.95E-246,FGFBP1
CD40,1.39E-249,-1.013838047,0.286,0.456,2.48E-245,CD40
TIMP3,1.66E-249,0.403125401,0.879,0.806,2.96E-245,TIMP3
BMERB1,1.99E-249,0.749140981,0.553,0.406,3.53E-245,BMERB1
HPN,2.67E-249,1.923282604,0.167,0.066,4.74E-245,HPN
FAM149A,4.22E-249,1.262940342,0.235,0.111,7.50E-245,FAM149A
CCDC198,4.27E-249,1.219506692,0.27,0.137,7.59E-245,CCDC198
PSMA7,5.79E-249,-0.551914886,0.751,0.838,1.03E-244,PSMA7
MPZL2,1.43E-248,0.842010975,0.605,0.484,2.53E-244,MPZL2
CRISPLD2,2.38E-248,0.74268585,0.62,0.506,4.23E-244,CRISPLD2
SPTSSA,5.02E-247,0.903997739,0.526,0.404,8.92E-243,SPTSSA
LITAF,1.16E-246,0.44657946,0.833,0.796,2.06E-242,LITAF
PRRX1,5.41E-246,-0.914139294,0.334,0.511,9.62E-242,PRRX1
CAST,1.27E-245,-0.535313763,0.827,0.87,2.25E-241,CAST
PRSS33,1.93E-244,2.862631458,0.08,0.018,3.42E-240,PRSS33
ITM2B,6.63E-244,0.219247336,0.977,0.969,1.18E-239,ITM2B
CYP4F11,1.45E-243,1.81904866,0.167,0.066,2.57E-239,CYP4F11
ALDH3B1,2.67E-243,0.854533556,0.62,0.504,4.75E-239,ALDH3B1
THSD4,4.04E-243,1.138103543,0.392,0.252,7.17E-239,THSD4
PRRC2C,6.17E-243,-0.367317133,0.884,0.927,1.10E-238,PRRC2C
NR2F1,1.57E-242,1.087611007,0.331,0.19,2.78E-238,NR2F1
SCN7A,3.18E-242,1.892101058,0.116,0.035,5.65E-238,SCN7A
NCMAP,3.59E-241,1.674569744,0.153,0.057,6.38E-237,NCMAP
VDAC2,1.13E-240,-0.547327184,0.646,0.766,2.02E-236,VDAC2
KRT81,1.60E-240,-3.342802887,0.022,0.14,2.85E-236,KRT81
FAM102A,3.06E-240,0.517250873,0.765,0.715,5.43E-236,FAM102A
PYCARD,5.74E-240,-0.730593612,0.377,0.554,1.02E-235,PYCARD
RAB25,6.45E-239,-0.508881789,0.718,0.811,1.15E-234,RAB25
CYBB,7.01E-238,-1.043212927,0.322,0.488,1.25E-233,CYBB
MYBPC1,1.86E-237,-3.432536859,0.011,0.119,3.30E-233,MYBPC1
BDNF,1.66E-235,2.244983948,0.086,0.021,2.94E-231,BDNF
METRN,2.37E-235,1.440255949,0.337,0.208,4.21E-231,METRN
ITIH5,2.08E-234,1.721277423,0.15,0.056,3.69E-230,ITIH5
CDH3,1.22E-233,-0.970282414,0.37,0.524,2.18E-229,CDH3
APCS,2.54E-232,3.415036459,0.045,0.005,4.51E-228,APCS
CHCHD1,1.06E-231,-0.660375207,0.517,0.677,1.89E-227,CHCHD1
CA11,1.70E-231,1.933897238,0.16,0.064,3.02E-227,CA11
SEMA7A,3.82E-231,-1.383167853,0.14,0.296,6.78E-227,SEMA7A
OLR1,4.22E-231,-0.991161427,0.259,0.429,7.49E-227,OLR1
CARTPT,6.63E-231,4.396912819,0.036,0.002,1.18E-226,CARTPT
S100A16,8.13E-231,-0.539368593,0.785,0.858,1.44E-226,S100A16
PADI1,8.42E-231,0.893138893,0.339,0.196,1.50E-226,PADI1
IL1R1,8.62E-231,0.74733495,0.588,0.471,1.53E-226,IL1R1
CCN1,2.88E-230,0.742578779,0.764,0.711,5.11E-226,CCN1
PROM1,5.19E-230,0.889233305,0.513,0.371,9.21E-226,PROM1
CALM3,5.01E-229,0.529620692,0.843,0.797,8.90E-225,CALM3
PTGR1,2.55E-228,0.93201068,0.451,0.312,4.53E-224,PTGR1
MMP14,3.24E-228,-0.492494565,0.858,0.907,5.76E-224,MMP14
CLIC5,3.33E-228,1.446836172,0.274,0.151,5.91E-224,CLIC5
NME2,1.36E-227,-0.366329358,0.854,0.896,2.41E-223,NME2
DST,1.64E-227,0.48565939,0.742,0.648,2.91E-223,DST
SAR1A,4.36E-227,-0.547514169,0.609,0.74,7.75E-223,SAR1A
NAPRT,1.42E-226,0.748470546,0.567,0.442,2.52E-222,NAPRT
FBLN1,2.56E-226,0.977412649,0.618,0.55,4.55E-222,FBLN1
HIST1H2BH,6.52E-226,-1.557869567,0.139,0.286,1.16E-221,HIST1H2BH
RTF2,4.51E-224,-0.649278793,0.567,0.71,8.00E-220,RTF2
MLF1,5.61E-223,1.517740018,0.204,0.095,9.96E-219,MLF1
IER5,4.20E-222,-0.82957117,0.407,0.573,7.46E-218,IER5
SYNM,6.83E-222,2.342597734,0.202,0.096,1.21E-217,SYNM
SPINK4,8.43E-222,-2.919669833,0.036,0.154,1.50E-217,SPINK4
AHNAK,4.52E-221,0.424425923,0.868,0.806,8.03E-217,AHNAK
C4BPB,5.75E-221,-1.549164604,0.096,0.237,1.02E-216,C4BPB
SRP19,2.95E-220,-0.938653807,0.309,0.481,5.25E-216,SRP19
FANCG,8.95E-219,1.841982152,0.23,0.121,1.59E-214,FANCG
IFI35,1.12E-217,-0.845012314,0.285,0.452,1.98E-213,IFI35
EPHB2,1.25E-217,-1.118734412,0.203,0.359,2.23E-213,EPHB2
TMC5,6.49E-217,0.496603448,0.722,0.562,1.15E-212,TMC5
EHD2,3.34E-215,0.653621904,0.706,0.625,5.92E-211,EHD2
UBE2L6,3.82E-215,-0.694931359,0.502,0.642,6.78E-211,UBE2L6
XAF1,5.50E-215,-0.956766263,0.226,0.387,9.77E-211,XAF1
TFF3,6.09E-215,0.599456437,0.56,0.4,1.08E-210,TFF3
CD55,1.04E-214,-0.923286618,0.664,0.767,1.85E-210,CD55
ISG20,1.21E-214,-0.724971026,0.409,0.574,2.15E-210,ISG20
CTSK,1.52E-214,-0.717440336,0.498,0.646,2.70E-210,CTSK
BUB3,2.40E-214,-0.602130051,0.478,0.636,4.26E-210,BUB3
HOXB13,4.04E-214,-4.720623438,0.004,0.097,7.18E-210,HOXB13
TMEM40,6.61E-214,-2.565686252,0.025,0.135,1.17E-209,TMEM40
IGFBP5,9.11E-214,0.255394712,0.839,0.757,1.62E-209,IGFBP5
LAMA3,1.06E-213,-0.511218508,0.582,0.72,1.88E-209,LAMA3
CIAO2B,4.01E-213,-0.700600319,0.534,0.667,7.12E-209,CIAO2B
TUSC3,4.03E-213,0.954118103,0.417,0.282,7.15E-209,TUSC3
GJB2,2.03E-212,-0.783552967,0.311,0.483,3.60E-208,GJB2
SERF2,2.89E-211,-0.256758147,0.97,0.982,5.13E-207,SERF2
SPIB,6.39E-211,-2.988319397,0.042,0.157,1.14E-206,SPIB
CYB5A,2.06E-210,0.730852177,0.592,0.496,3.65E-206,CYB5A
SDC4,3.85E-210,-0.431162127,0.828,0.887,6.84E-206,SDC4
HLA-DQA1,1.15E-209,-0.698878934,0.21,0.383,2.04E-205,HLA-DQA1
SERPINB5,1.70E-209,-0.797063163,0.329,0.502,3.02E-205,SERPINB5
HHIP,7.28E-209,-1.923145128,0.052,0.174,1.29E-204,HHIP
SLC37A1,1.20E-208,-0.612102349,0.424,0.588,2.14E-204,SLC37A1
ABCA2,3.39E-208,0.913183844,0.465,0.337,6.02E-204,ABCA2
VDAC3,4.75E-208,-0.533255468,0.561,0.716,8.43E-204,VDAC3
CTSA,1.31E-207,-0.565008714,0.562,0.703,2.33E-203,CTSA
SLC44A4,1.43E-207,0.539644611,0.669,0.556,2.53E-203,SLC44A4
SSC5D,1.84E-207,1.016859432,0.364,0.23,3.26E-203,SSC5D
PTPRU,2.01E-207,0.830380823,0.495,0.358,3.56E-203,PTPRU
SDCBP,1.42E-206,0.444218419,0.807,0.761,2.52E-202,SDCBP
CTSS,2.08E-206,-0.659616986,0.552,0.677,3.70E-202,CTSS
GSTM3,3.08E-206,0.854510953,0.447,0.317,5.47E-202,GSTM3
CKLF,3.99E-205,-0.960868183,0.531,0.647,7.09E-201,CKLF
RACK1,1.85E-204,-0.238980443,0.933,0.949,3.28E-200,RACK1
PLA2G2A,2.19E-204,-2.624103524,0.043,0.157,3.89E-200,PLA2G2A
MMP13,8.73E-204,-3.190028074,0.013,0.11,1.55E-199,MMP13
ITGA2,6.99E-203,-0.626726596,0.583,0.697,1.24E-198,ITGA2
SERPING1,2.27E-202,0.674091561,0.656,0.576,4.04E-198,SERPING1
HS6ST1,7.71E-202,1.073609537,0.352,0.226,1.37E-197,HS6ST1
IRF7,8.80E-202,-0.883584689,0.255,0.414,1.56E-197,IRF7
ADH1C,1.00E-201,1.474742471,0.205,0.101,1.78E-197,ADH1C
ANKRD65,1.35E-201,2.189110568,0.111,0.038,2.41E-197,ANKRD65
SIGLEC6,3.16E-201,-2.735804565,0.031,0.137,5.61E-197,SIGLEC6
RPN2,5.47E-201,-0.41531305,0.712,0.807,9.71E-197,RPN2
SPRY1,7.40E-201,0.808640003,0.5,0.378,1.31E-196,SPRY1
NOVA1,9.29E-201,2.309504594,0.087,0.025,1.65E-196,NOVA1
TM4SF20,1.22E-200,-2.449785209,0.049,0.163,2.18E-196,TM4SF20
ANKLE2,1.91E-199,-0.588643766,0.509,0.646,3.40E-195,ANKLE2
CREB3L1,2.06E-199,-0.496876582,0.627,0.744,3.67E-195,CREB3L1
IDO1,1.04E-198,-2.497786297,0.063,0.182,1.85E-194,IDO1
CHCHD2,1.30E-198,-0.327659093,0.937,0.949,2.31E-194,CHCHD2
DDX21,1.47E-198,-0.480511493,0.635,0.761,2.60E-194,DDX21
IFIH1,3.11E-198,-0.928929043,0.241,0.396,5.52E-194,IFIH1
BAG3,1.67E-197,-0.817031257,0.408,0.55,2.96E-193,BAG3
NECTIN3,2.99E-197,1.110851467,0.3,0.179,5.31E-193,NECTIN3
CYB5B,9.14E-197,-0.641336575,0.563,0.68,1.62E-192,CYB5B
SDC1,1.93E-196,0.486722494,0.801,0.759,3.43E-192,SDC1
SYT13,2.04E-196,-1.116421017,0.257,0.403,3.62E-192,SYT13
APOE,4.19E-196,-1.074072006,0.725,0.81,7.44E-192,APOE
EIF4A1,5.02E-196,-0.326581274,0.931,0.95,8.91E-192,EIF4A1
CCK,5.83E-196,2.042247395,0.07,0.017,1.04E-191,CCK
CAPN9,3.71E-195,1.51470962,0.216,0.112,6.59E-191,CAPN9
CHST11,1.06E-194,-1.0574909,0.196,0.346,1.89E-190,CHST11
MYEOV,1.37E-193,-0.678358279,0.257,0.437,2.43E-189,MYEOV
TMEM88B,2.25E-193,4.684543586,0.028,0.002,3.99E-189,TMEM88B
E2F4,2.43E-193,-0.724912076,0.394,0.543,4.32E-189,E2F4
TCF7L2,5.50E-193,-0.496967979,0.533,0.688,9.77E-189,TCF7L2
